Info 0    [21:40:47.864] Starting TS Server
Info 1    [21:40:47.865] Version: 4.8.2
Info 2    [21:40:47.865] Arguments: /Users/wayneolson/.nvm/versions/node/v14.17.4/bin/node /Users/wayneolson/.nvm/versions/node/v14.17.4/lib/node_modules/typescript/lib/tsserver.js --logFile /Users/wayneolson/dev/projects/contact-pro/backend/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/59/vpndc67941zbj_3wzzvxg7z40000gn/T/2ee513e12e05a1b70e676b758e8fb869/tscancellation*
Info 3    [21:40:47.865] Platform: darwin NodeVersion: 14 CaseSensitive: false
Info 4    [21:40:47.865] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [21:40:47.872] Format host information updated
Info 6    [21:40:47.879] Search path: /Users/wayneolson/dev/projects/contact-pro/backend/middleware
Info 7    [21:40:47.879] For info: /Users/wayneolson/dev/projects/contact-pro/backend/middleware/check-auth.js :: No config files found.
Info 8    [21:40:47.882] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [21:40:48.684] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 802.4101669937372ms
Info 10   [21:40:48.684] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [21:40:48.684] 	Files (169)

Info 12   [21:40:48.684] -----------------------------------------------
Info 13   [21:40:48.701] AutoImportProviderProject: attempted to add more than 10 dependencies. Aborting.
Info 14   [21:41:02.324] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 15   [21:41:02.362] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 37.57441599667072ms
Info 16   [21:41:02.362] Different program with same set of files
Info 17   [21:41:02.578] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [21:41:02.614] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 35.804208010435104ms
Info 19   [21:41:02.614] Different program with same set of files
Info 20   [21:41:02.638] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [21:41:02.656] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 17.401084005832672ms
Info 22   [21:41:02.656] Different program with same set of files
Info 23   [21:41:02.874] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [21:41:02.899] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 24.619708001613617ms
Info 25   [21:41:02.899] Different program with same set of files
Info 26   [21:41:03.160] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 27   [21:41:03.178] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 17.688291013240814ms
Info 28   [21:41:03.178] Different program with same set of files
Info 29   [21:41:03.442] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 30   [21:41:03.471] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 29.028833001852036ms
Info 31   [21:41:03.471] Different program with same set of files
Info 32   [21:41:03.734] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 33   [21:41:03.767] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 32.229416996240616ms
Info 34   [21:41:03.767] Different program with same set of files
Info 35   [21:41:04.029] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [21:41:04.056] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 26.939584001898766ms
Info 37   [21:41:04.056] Different program with same set of files
Info 38   [21:41:04.316] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 39   [21:41:04.341] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 24.828084006905556ms
Info 40   [21:41:04.341] Different program with same set of files
Info 41   [21:41:04.602] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 42   [21:41:04.625] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 23.423084005713463ms
Info 43   [21:41:04.626] Different program with same set of files
Info 44   [21:41:04.890] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 45   [21:41:04.918] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 27.824667006731033ms
Info 46   [21:41:04.918] Different program with same set of files
Info 47   [21:41:05.177] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 48   [21:41:05.202] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 24.189250007271767ms
Info 49   [21:41:05.202] Different program with same set of files
Info 50   [21:41:05.462] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 51   [21:41:05.478] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 15.43487499654293ms
Info 52   [21:41:05.478] Different program with same set of files
Info 53   [21:41:05.740] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 54   [21:41:05.766] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 26.431540995836258ms
Info 55   [21:41:05.766] Different program with same set of files
Info 56   [21:41:06.031] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 57   [21:41:06.060] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 29.191417008638382ms
Info 58   [21:41:06.060] Different program with same set of files
Info 59   [21:41:06.324] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 60   [21:41:06.351] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 27.098124995827675ms
Info 61   [21:41:06.352] Different program with same set of files
Info 62   [21:41:06.615] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 63   [21:41:06.638] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 23.322083994746208ms
Info 64   [21:41:06.638] Different program with same set of files
Info 65   [21:41:06.902] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 66   [21:41:06.938] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 36.05291599035263ms
Info 67   [21:41:06.938] Different program with same set of files
Info 68   [21:41:07.202] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 69   [21:41:07.227] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false structureIsReused:: Completely Elapsed: 24.83008399605751ms
Info 70   [21:41:07.227] Different program with same set of files
Info 71   [21:41:07.489] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 72   [21:41:07.504] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false structureIsReused:: Completely Elapsed: 14.122207999229431ms
Info 73   [21:41:07.504] Different program with same set of files
